+--------+--------------------------------------------------------------------------------------+---------+----------------------------------------------------------------------------------+
|Album_ID|Album_Name                                                                            |Artist_ID|Album_Cover                                                                       |
+--------+--------------------------------------------------------------------------------------+---------+----------------------------------------------------------------------------------+
|1       |1989                                                                                  |1        |https://lastfm.freetls.fastly.net/i/u/300x300/b71ba6cf5881d8cf143e0ad0b4f28d9f.png|
|2       |All Too Well: The Short Film                                                          |1        |https://lastfm.freetls.fastly.net/i/u/300x300/7db4aee8c311c85e95aad4a5cbef395a.jpg|
|3       |Fearless                                                                              |1        |https://lastfm.freetls.fastly.net/i/u/300x300/d8888f990ce044e4c856550a7041c83e.jpg|
|4       |Red                                                                                   |1        |https://lastfm.freetls.fastly.net/i/u/300x300/ad99371a89ed925f63ee3737b4bf9908.jpg|
|5       |Red Karaoke                                                                           |1        |https://lastfm.freetls.fastly.net/i/u/300x300/ce33a1b7ae05742f6d0646bef146f0dc.jpg|
|6       |the "ladies lunching" chapter                                                         |1        |https://lastfm.freetls.fastly.net/i/u/300x300/154aba55423f3db99addb6c475454e80.jpg|
|7       |Lover                                                                                 |1        |https://lastfm.freetls.fastly.net/i/u/300x300/d3f083370c371a3ba1cddafaf193c27d.jpg|
|8       |evermore (deluxe version)                                                             |1        |https://lastfm.freetls.fastly.net/i/u/300x300/2b1ed6bdaba7aa57d94c1bdfb805e972.jpg|
|9       |Time                                                                                  |1        |https://lastfm.freetls.fastly.net/i/u/300x300/71514573e0f14814c135dfd39193cd45.png|
|10      |evermore                                                                              |1        |https://lastfm.freetls.fastly.net/i/u/300x300/3fc71aa25ab1242571c841c75f764d10.jpg|
|11      |Lover (Deluxe Edition)                                                                |1        |https://lastfm.freetls.fastly.net/i/u/300x300/41e946737b157ea0e88b7c0551acc604.jpg|
|12      |Speak Now                                                                             |1        |https://lastfm.freetls.fastly.net/i/u/300x300/a9ff4f81e3402e5fdd3c8e85681ad606.jpg|
|13      |reputation                                                                            |1        |https://lastfm.freetls.fastly.net/i/u/300x300/8554f8f708e7de9ff25f9fc0e6257706.jpg|
|14      |Look What You Made Me Do                                                              |1        |https://lastfm.freetls.fastly.net/i/u/300x300/d7eeb2af66bcabe47459f89b1b7934c3.jpg|
|15      |Fearless: Platinum Edition                                                            |1        |https://lastfm.freetls.fastly.net/i/u/300x300/79d31e2240028ecf5bf6894c4bbf98cd.png|
|16      |Taylor Swift                                                                          |1        |https://lastfm.freetls.fastly.net/i/u/300x300/bca070b0f73ef2816729c60abb8b95ac.jpg|
|17      |End Game                                                                              |1        |https://lastfm.freetls.fastly.net/i/u/300x300/ef84e68b27c398e51a5de2f2a866230a.jpg|
|18      |=                                                                                     |2        |https://lastfm.freetls.fastly.net/i/u/300x300/cb28e94e9867ea7388dc9b5b8eeab8f9.jpg|
|19      |Born to Die - The Paradise Edition                                                    |3        |https://lastfm.freetls.fastly.net/i/u/300x300/9a55c36dbb36490bdc061bad570ef94d.jpg|
|20      |Blue Banisters                                                                        |3        |https://lastfm.freetls.fastly.net/i/u/300x300/5b7e18b6cd74e1c61ceb45a678a6e13d.jpg|
|21      |Born to Die                                                                           |3        |https://lastfm.freetls.fastly.net/i/u/300x300/b7a5287d053725c9660816261d1d807f.jpg|
|22      |Ultraviolence                                                                         |3        |https://lastfm.freetls.fastly.net/i/u/300x300/97ae7fe956f2b5f316845fe7976fc4e0.jpg|
|23      |Lust For Life                                                                         |3        |https://lastfm.freetls.fastly.net/i/u/300x300/4ca041ff63553413cf62722ccc486246.jpg|
|24      |Born To Die - The Paradise Edition (Special Version)                                  |3        |https://lastfm.freetls.fastly.net/i/u/300x300/9a55c36dbb36490bdc061bad570ef94d.jpg|
|25      |Norman Fucking Rockwell! [Explicit]                                                   |3        |https://lastfm.freetls.fastly.net/i/u/300x300/205213d326ea653404997065e9ceb3fe.jpg|
|26      |Lust for Life                                                                         |3        |https://lastfm.freetls.fastly.net/i/u/300x300/4ca041ff63553413cf62722ccc486246.jpg|
|27      |Born To Die                                                                           |3        |https://lastfm.freetls.fastly.net/i/u/300x300/9a55c36dbb36490bdc061bad570ef94d.jpg|
|28      |Honeymoon                                                                             |3        |https://lastfm.freetls.fastly.net/i/u/300x300/590644cb7094ec5f1a7ad304e90c914e.jpg|
|29      |Norman Fucking Rockwell!                                                              |3        |https://lastfm.freetls.fastly.net/i/u/300x300/b66c572f7d89374dd746d7b02fc324b5.png|
|30      |Wildflower Wildfire - Single                                                          |3        |https://lastfm.freetls.fastly.net/i/u/300x300/4c5149a96ffbb83b4b18a44b20cff2b6.jpg|
|31      |The Better Life                                                                       |4        |https://lastfm.freetls.fastly.net/i/u/300x300/c2f5e2cb9d1f454b9990a77a690bd84b.png|
|32      |Away from the Sun                                                                     |4        |https://lastfm.freetls.fastly.net/i/u/300x300/056ec23d90254b70b62aa84ce14876aa.png|
|33      |Greatest Hits                                                                         |5        |https://lastfm.freetls.fastly.net/i/u/300x300/7ff4599dc712769dd262fcff394a61cc.jpg|
|34      |Meteora                                                                               |5        |https://lastfm.freetls.fastly.net/i/u/300x300/b636ff6f39f8dd435c89fc7bd2e002f8.jpg|
|35      |Minutes to Midnight                                                                   |5        |https://lastfm.freetls.fastly.net/i/u/300x300/185a38ca7368d2c9ad9cb9ea95ae05f4.jpg|
|36      |Silver Side Up                                                                        |6        |https://lastfm.freetls.fastly.net/i/u/300x300/80649fca746c7014df458258f983d63d.jpg|
|37      |All The Right Reasons                                                                 |6        |https://lastfm.freetls.fastly.net/i/u/300x300/e55ef79c3e5347d4c7e85c44ef1487be.jpg|
|38      |The Long Road                                                                         |6        |https://lastfm.freetls.fastly.net/i/u/300x300/ef37f4e43576427fc2d2c2042eee820d.png|
|39      |Audioslave                                                                            |7        |https://lastfm.freetls.fastly.net/i/u/300x300/ed071004b3a64afb8b2a8397aad1bed4.png|
|40      |Out of Exile                                                                          |7        |https://lastfm.freetls.fastly.net/i/u/300x300/815b1a1f78e3cb564ae23e4852d1de4a.jpg|
|41      |Fallen                                                                                |8        |https://lastfm.freetls.fastly.net/i/u/300x300/709c71461153419d86742071e16426c8.png|
|42      |Elephant                                                                              |9        |https://lastfm.freetls.fastly.net/i/u/300x300/4834c1de5bae49f594bd2f2df1f16286.png|
|43      |Believers Never Die - Greatest Hits                                                   |10       |https://lastfm.freetls.fastly.net/i/u/300x300/190429befa66419db3510a86774006cb.png|
|44      |From Under the Cork Tree                                                              |10       |https://lastfm.freetls.fastly.net/i/u/300x300/73ff2d6aea6d465ac6b9a697ce4c6168.png|
|45      |By the Way                                                                            |11       |https://lastfm.freetls.fastly.net/i/u/300x300/e6605f39212f48d1b3968e78b5423456.png|
|46      |Stadium Arcadium                                                                      |11       |https://lastfm.freetls.fastly.net/i/u/300x300/fb7d1a6c6e5240c48159d08b17ea022b.png|
|47      |Echoes, Silence, Patience & Grace                                                     |12       |https://lastfm.freetls.fastly.net/i/u/300x300/a1a33e78e5ee4efab5827b28776795fb.png|
|48      |In Your Honor                                                                         |12       |https://lastfm.freetls.fastly.net/i/u/300x300/a3b076a45d944b508d4455556b96b5ad.png|
|49      |One by One                                                                            |12       |https://lastfm.freetls.fastly.net/i/u/300x300/c163489f35ce47d3a3ec6be7f8b39178.png|
|50      |The Sickness                                                                          |13       |https://lastfm.freetls.fastly.net/i/u/300x300/61b929a6ca07482ba86ee85bd6fbe4a6.png|
