+-----------+-------+
|Playlist_ID|Song_ID|
+-----------+-------+
|9          |160    |
|9          |1      |
|9          |5      |
|9          |8      |
|9          |10     |
|9          |147    |
|14         |11     |
|14         |160    |
|14         |6      |
|14         |140    |
|14         |169    |
|14         |157    |
|14         |37     |
|14         |231    |
|14         |73     |
|14         |78     |
|14         |66     |
|14         |61     |
|14         |248    |
|14         |63     |
|14         |14     |
|14         |36     |
|14         |32     |
|14         |65     |
|14         |159    |
|14         |72     |
|14         |89     |
|14         |158    |
|14         |145    |
|14         |165    |
|14         |193    |
|14         |192    |
|14         |252    |
|14         |251    |
|14         |136    |
|18         |251    |
|18         |231    |
|18         |40     |
|14         |5      |
+-----------+-------+
