+-----------------------------------------+--------+-------+---------+-------+-----------+
|Song_Name                                |Album_ID|Song_ID|Artist_ID|Listens|Song_URL   |
+-----------------------------------------+--------+-------+---------+-------+-----------+
|Shake It Off                             |1       |1      |1        |0      |nfWlot6h_JM|
|Wildest Dreams                           |1       |2      |1        |0      |CUr_UwUUXzU|
|Blank Space                              |1       |4      |1        |0      |e-ORhEE9VVg|
|Style                                    |1       |5      |1        |0      |-CmadmM5cOk|
|Bad Blood                                |1       |6      |1        |0      |QcIy9NiNbmo|
|All Too Well: The Short Film             |2       |7      |1        |0      |tollGa3S0o8|
|You Belong With Me                       |3       |8      |1        |0      |vwp8Ur6tO-8|
|Love Story                               |3       |9      |1        |0      |aXzVF3XeS8M|
|Fifteen                                  |3       |10     |1        |0      |rLCol1C3ouc|
|22                                       |4       |11     |1        |0      |9boiT64sm0Q|
|Red                                      |4       |12     |1        |0      |R_rUYuFtNO4|
|All Too Well                             |4       |13     |1        |0      |F8Jxo15Vfic|
|I Knew You Were Trouble                  |5       |14     |1        |0      |TqAollrUJdA|
|Everything Has Changed                   |5       |15     |1        |0      |w1oM3kQpXRo|
|right where you left me                  |6       |16     |1        |0      |Ur_wAcYDnuA|
|Cruel Summer                             |7       |17     |1        |0      |ic8j13piAhQ|
|gold rush                                |8       |18     |1        |0      |Pz-f9mM3Ms8|
|Run                                      |9       |19     |1        |0      |flv8AEWrRMI|
|no body, no crime                        |10      |20     |1        |0      |IEPomqor2A8|
|coney island                             |10      |21     |1        |0      |c_p_TBaHvos|
|ivy                                      |10      |22     |1        |0      |9nIOx-ezlzA|
|The Man                                  |11      |23     |1        |0      |AqAJLh9wuZ0|
|Cornelia Street                          |11      |24     |1        |0      |VikHHWrgb4Y|
|Enchanted                                |12      |25     |1        |0      |vv3um0BlygY|
|Back to December                         |12      |26     |1        |0      |QUwxKWT6m7U|
|Mean                                     |12      |27     |1        |0      |jYa1eI1hpDE|
|Sparks Fly                               |12      |28     |1        |0      |oKar-tF__ac|
|Last Kiss                                |12      |29     |1        |0      |6InmFjIVAv0|
|The Story of Us                          |12      |30     |1        |0      |nN6VR92V70M|
|Getaway Car                              |13      |31     |1        |0      |FhPLQVlUiNQ|
|Look What You Made Me Do                 |14      |32     |1        |0      |3tmd-ClpJxA|
|The Other Side Of The Door               |15      |33     |1        |0      |425n1NoRtgA|
|Picture to Burn                          |16      |34     |1        |0      |yCMqcFAigRg|
|End Game                                 |17      |35     |1        |0      |dfnCAmr569k|
|The Joker And The Queen                  |18      |36     |2        |0      |2qzcHLyv3N0|
|Summertime Sadness                       |19      |37     |3        |0      |TdrL3QxjyVw|
|Video Games                              |19      |38     |3        |0      |cE6wxDqdOV0|
|Ride                                     |19      |39     |3        |0      |Py_-3di1yx0|
|Carmen                                   |19      |40     |3        |0      |L6K8Uq88BEQ|
|National Anthem                          |19      |41     |3        |0      |sxDdEPED0h8|
|Blue Banisters                           |20      |42     |3        |0      |fN0OmdJUl0I|
|Arcadia                                  |20      |43     |3        |0      |4mECX60FVJQ|
|If You Lie Down With Me                  |20      |44     |3        |0      |xFv0wg_alGk|
|Born to Die                              |21      |45     |3        |0      |Bag1gUxuU0g|
|Brooklyn Baby                            |22      |46     |3        |0      |T5xcnjAG8pE|
|West Coast                               |22      |47     |3        |0      |oKxuiw3iMBE|
|Cherry                                   |23      |48     |3        |0      |uNuMH2i6wdI|
|Cola                                     |24      |49     |3        |0      |lBakG7KtVZE|
|Gods & Monsters                          |24      |50     |3        |0      |ORw5Sv0Ch-0|
|Mariners Apartment Complex               |25      |51     |3        |0      |1uFv9Ts7Sdw|
|Love                                     |26      |52     |3        |0      |3-NTv0CdFCk|
|Dark Paradise                            |27      |53     |3        |0      |l4rhJx2YPo8|
|Off To The Races                         |27      |54     |3        |0      |1CaS4pSpS3c|
|High by the Beach                        |28      |55     |3        |0      |QnxpHIl5Ynw|
|Venice Bitch                             |29      |56     |3        |0      |Qg3DxELVPj4|
|Wildflower Wildfire                      |30      |57     |3        |0      |MQAn157UeKY|
|Kryptonite                               |31      |58     |4        |0      |xPU8OAjjS4k|
|Loser                                    |31      |59     |4        |0      |2Ui_Q4qBDJY|
|Here Without You                         |32      |60     |4        |0      |kPBzTxZQG5Q|
|In the End                               |33      |61     |5        |0      |eVTXPUF4Oz4|
|New Divide                               |33      |62     |5        |0      |ysSxxIqKNN0|
|Numb                                     |34      |63     |5        |0      |kXYiU_JCYtU|
|Faint                                    |34      |64     |5        |0      |LYU-8IFcDPw|
|Somewhere I Belong                       |34      |65     |5        |0      |zsCD5XCu6CM|
|What I've Done                           |35      |66     |5        |0      |8sgycukafqQ|
|How You Remind Me                        |36      |67     |6        |0      |1cQh1ccqu8M|
|Photograph                               |37      |68     |6        |0      |BB0DU4DoPP4|
|Figured You Out                          |38      |69     |6        |0      |FIjRo-gMlKE|
|Like a Stone                             |39      |70     |7        |0      |7QU1nvuxaMA|
|Be Yourself                              |40      |71     |7        |0      |WC5FdFlUcl0|
|Bring Me to Life                         |41      |72     |8        |0      |3YxaaGgTQYM|
|Seven Nation Army                        |42      |73     |9        |0      |0J2QdDbelmY|
|Sugar, We're Goin Down                   |43      |74     |10       |0      |uhG-vLZrb-g|
|Dance, Dance                             |44      |75     |10       |0      |C6MOKXm8x50|
|By the Way                               |45      |76     |11       |0      |JnfyjwChuNU|
|Dani California                          |46      |77     |11       |0      |Sb5aq5HcS1A|
|The Pretender                            |47      |78     |12       |0      |SBjQ9tuuTJQ|
|Best of You                              |48      |79     |12       |0      |h_L4Rixya64|
|All My Life                              |49      |80     |12       |0      |xQ04WbgI9rg|
|Times Like These                         |49      |81     |12       |0      |rhzmNRtIp8k|
|Down With the Sickness                   |50      |82     |13       |0      |09LTT0xwdfw|
|Inside the Fire                          |51      |83     |13       |0      |2Q1SxzEBhnc|
|You're Gonna Go Far, Kid                 |52      |84     |14       |0      |ql9-82oV2JE|
|Original Prankster                       |53      |85     |14       |0      |Qp6Qn8IwPf8|
|It's Been Awhile                         |54      |86     |15       |0      |araU0fZj6oQ|
|So Far Away                              |55      |87     |15       |0      |QCZXjB9DPl4|
|Drive                                    |56      |88     |16       |0      |fgT9zGkiLig|
|Boulevard of Broken Dreams               |57      |89     |17       |0      |Soa3gO7tL-c|
|Holiday                                  |57      |90     |17       |0      |A1OqtIqzScI|
|American Idiot                           |58      |91     |17       |0      |Ee_uujKuJMI|
|Youth of the Nation                      |59      |92     |18       |0      |EDKwCvD56kw|
|Second Chance                            |60      |93     |19       |0      |WbsDPbr8qoM|
|Save Me                                  |61      |94     |19       |0      |T8dyxGiBx3g|
|Slither                                  |62      |95     |20       |0      |BKz2U4fvA4U|
|Fall To Pieces                           |62      |96     |20       |0      |9JhsUFuqbCM|
|Fake It                                  |63      |97     |21       |0      |gy8HPSIFXEM|
|Remedy                                   |64      |98     |21       |0      |FZLILV18ut8|
|Pain                                     |65      |99     |22       |0      |Ud4HuAzHEUc|
