Bite Me,3,28,12,0
Love Sux,3,30,12,0
Bois Lie,3,27,12,0
Tomorrow,2,24,12,0
Im With You,2,21,12,0
Cannonball,3,26,12,0
Unwanted,2,23,12,0
Sk8er Boi,2,20,12,0
Megalovania,11,2,2,2000000000
Feel Good Inc,5,0,0,0
St Jimmy,4,36,14,0
Holiday,4,33,14,0
Anything But Ordinary,2,25,12,1
Time To Fight!,1,12,11,0
Are We the Waiting,4,35,14,0
Jesus of Suburbia,4,32,14,0
American Idiot,4,31,14,0
Boulevard of Broken Dreams,4,34,14,0
Discord Ping,12,4,4,0
Rockefeller Street,13,9,9,0
Pumped Up Kicks,6,6,6,0
Take On Me,14,7,7,0
Colony 9,1,11,11,0
An Obstacle in Our Way,1,15,11,0
Losing Grip,2,18,12,0
Complicated,2,19,12,0
All Star,10,5,5,0
Never Gonna Give You Up,7,1,1,162789010
Frontier Village,1,16,11,0
You Will Know Our Names,1,17,11,0
Gaur Plain,1,14,11,0
Engage the Enemy,1,13,11,0
Give Me Novacaine,4,37,14,0
Roundabout,9,8,14,0
Mobile,2,22,12,0
Caramelldansen,8,10,10,0
Shes a Rebel,4,38,14,0
Love It When You Hate Me,3,29,12,0
Sandstorm,15,3,3,96
